season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,16,96,0,northampton,30,23,irish,7.333333333,-0.533333333,9,6,7,1,0
11_12,16,91,1,sale,46,34,wasps,-2.066666667,-6.133333333,7,4,12,1,0
11_12,16,92,1,worcester,16,11,saracens,-3.333333333,4.933333333,5,11,5,1,0
11_12,16,93,1,leicester,42,15,newcastle,1.6,-10.06666667,8,3,27,1,0
11_12,16,94,1,exeter,9,12,bath,0.066666667,-0.933333333,8,6,-3,0,0
11_12,16,95,1,gloucester,29,23,harlequins,1.8,7.333333333,7,13,6,1,0
11_12,16,96,1,irish,23,30,northampton,-0.533333333,7.333333333,6,9,-7,0,0
11_12,17,97,0,harlequins,9,9,newcastle,6.5,-11.125,13,3,0,0,1
11_12,17,98,0,worcester,17,36,bath,-2.8125,-0.6875,6,7,-19,0,0
11_12,17,99,0,sale,12,37,exeter,-1.1875,-0.125,8,8,-25,0,0
11_12,17,100,0,irish,13,18,wasps,-0.9375,-6.5,6,4,-5,0,0
11_12,17,101,0,gloucester,3,36,leicester,2.0625,3.1875,8,9,-33,0,0
11_12,17,102,0,northampton,12,18,saracens,7.3125,4.3125,10,11,-6,0,0
11_12,17,97,1,newcastle,9,9,harlequins,-11.125,6.5,3,13,0,0,1
11_12,17,98,1,bath,36,17,worcester,-0.6875,-2.8125,7,6,19,1,0
11_12,17,99,1,exeter,37,12,sale,-0.125,-1.1875,8,8,25,1,0
11_12,17,100,1,wasps,18,13,irish,-6.5,-0.9375,4,6,5,1,0
11_12,17,101,1,leicester,36,3,gloucester,3.1875,2.0625,9,8,33,1,0
11_12,17,102,1,saracens,18,12,northampton,4.3125,7.3125,11,10,6,1,0
11_12,18,103,0,saracens,45,9,sale,4.411764706,-2.588235294,12,8,36,1,0
11_12,18,104,0,newcastle,9,19,worcester,-10.47058824,-3.764705882,3,6,-10,0,0
11_12,18,105,0,bath,6,14,harlequins,0.470588235,6.117647059,8,13,-8,0,0
11_12,18,106,0,exeter,28,27,gloucester,1.352941176,0,9,8,1,1,0
